1 356 0 0    4.9 1591.71      0.00115871 1591.24 0.000256538 0 0 967298      0 0.00115871  0 1591.24  0 0.000256538  0 0  0 0  0 967298       0 0.00115871  0 1591.24  0 0.000256538  0 0  0 0  0 967298 
1 356 0 0    4.92 1591.94      0.0012145 1591.46 0.000237942 0 0 967298      0 0.0012145  0 1591.46  0 0.000237942  0 0  0 0  0 967298       0 0.0012145  0 1591.46  0 0.000237942  0 0  0 0  0 967298 
1 356 0 0    4.93 1591.96      0.00138283 1591.44 0.000299931 0 0 967298      0 0.00138283  0 1591.44  0 0.000299931  0 0  0 0  0 967298       0 0.00138283  0 1591.44  0 0.000299931  0 0  0 0  0 967298 
1 356 0 0    4.84 1592.21      0.00106239 1591.83 0.000223637 0 0 967298      0 0.00106239  0 1591.83  0 0.000223637  0 0  0 0  0 967298       0 0.00106239  0 1591.83  0 0.000223637  0 0  0 0  0 967298 
1 356 0 0    4.94 1592.3      0.00165629 1591.73 0.000300407 0 0 967298      0 0.00165629  0 1591.73  0 0.000300407  0 0  0 0  0 967298       0 0.00165629  0 1591.73  0 0.000300407  0 0  0 0  0 967298 
1 356 0 0    3.42 39.75      9.9659e-05 39.482 1.81198e-05 0 0 967298      0 9.9659e-05  0 39.482  0 1.81198e-05  0 0  0 0  0 967298       0 9.9659e-05  0 39.482  0 1.81198e-05  0 0  0 0  0 967298 
1 356 0 0    3.4 39.74      0.000100136 39.4714 1.69277e-05 0 0 967298      0 0.000100136  0 39.4714  0 1.69277e-05  0 0  0 0  0 967298       0 0.000100136  0 39.4714  0 1.69277e-05  0 0  0 0  0 967298 
1 356 0 0    3.39 39.82      0.000129938 39.5436 2.21729e-05 0 0 967298      0 0.000129938  0 39.5436  0 2.21729e-05  0 0  0 0  0 967298       0 0.000129938  0 39.5436  0 2.21729e-05  0 0  0 0  0 967298 
1 356 0 0    3.4 40.22      8.4877e-05 39.9306 1.4782e-05 0 0 967298      0 8.4877e-05  0 39.9306  0 1.4782e-05  0 0  0 0  0 967298       0 8.4877e-05  0 39.9306  0 1.4782e-05  0 0  0 0  0 967298 
1 356 0 0    3.39 40.72      9.39369e-05 40.4348 1.5974e-05 0 0 967298      0 9.39369e-05  0 40.4348  0 1.5974e-05  0 0  0 0  0 967298       0 9.39369e-05  0 40.4348  0 1.5974e-05  0 0  0 0  0 967298 
1 356 0 0    7.7 36.38      6.60419e-05 35.7234 1.19209e-05 0 0 967298      0 6.60419e-05  0 35.7234  0 1.19209e-05  0 0  0 0  0 967298       0 6.60419e-05  0 35.7234  0 1.19209e-05  0 0  0 0  0 967298 
1 356 0 0    7.75 36.37      6.31809e-05 35.7114 1.07288e-05 0 0 967298      0 6.31809e-05  0 35.7114  0 1.07288e-05  0 0  0 0  0 967298       0 6.31809e-05  0 35.7114  0 1.07288e-05  0 0  0 0  0 967298 
